	Compound	Date	Negative	Neutral	Positive	Tweets Ago	Source
0	0.6369	Fri Jun 22 19:11:28 +0000 2018	0.741	0.0	0.259	1	@BBC
1	0.25	Fri Jun 22 19:11:15 +0000 2018	0.913	0.0	0.087	2	@BBC
2	0.0	Fri Jun 22 19:10:41 +0000 2018	1.0	0.0	0.0	3	@BBC
3	0.7518	Fri Jun 22 19:10:14 +0000 2018	0.735	0.0	0.265	4	@BBC
4	0.3612	Fri Jun 22 19:09:53 +0000 2018	0.902	0.0	0.098	5	@BBC
5	0.4215	Fri Jun 22 19:04:06 +0000 2018	0.865	0.0	0.135	6	@BBC
6	-0.3182	Fri Jun 22 18:01:05 +0000 2018	0.85	0.15	0.0	7	@BBC
7	0.0	Fri Jun 22 17:00:21 +0000 2018	1.0	0.0	0.0	8	@BBC
8	0.0	Fri Jun 22 16:01:00 +0000 2018	1.0	0.0	0.0	9	@BBC
9	0.0	Fri Jun 22 13:02:03 +0000 2018	1.0	0.0	0.0	10	@BBC
10	0.0	Fri Jun 22 12:03:05 +0000 2018	1.0	0.0	0.0	11	@BBC
11	-0.34	Fri Jun 22 11:00:13 +0000 2018	0.844	0.156	0.0	12	@BBC
12	0.0	Fri Jun 22 08:01:04 +0000 2018	1.0	0.0	0.0	13	@BBC
13	0.6632	Fri Jun 22 07:28:05 +0000 2018	0.559	0.119	0.322	14	@BBC
14	0.0	Fri Jun 22 07:00:04 +0000 2018	1.0	0.0	0.0	15	@BBC
15	0.2732	Thu Jun 21 19:03:04 +0000 2018	0.595	0.2	0.205	16	@BBC
16	0.0	Thu Jun 21 18:01:06 +0000 2018	1.0	0.0	0.0	17	@BBC
17	0.3134	Thu Jun 21 16:42:25 +0000 2018	0.811	0.062	0.127	18	@BBC
18	0.5093	Thu Jun 21 16:01:04 +0000 2018	0.732	0.0	0.268	19	@BBC
19	0.8074	Thu Jun 21 16:00:09 +0000 2018	0.687	0.0	0.313	20	@BBC
20	-0.7506	Thu Jun 21 13:02:34 +0000 2018	0.686	0.314	0.0	21	@BBC
21	0.0	Thu Jun 21 12:28:30 +0000 2018	1.0	0.0	0.0	22	@BBC
22	0.0	Thu Jun 21 12:25:47 +0000 2018	1.0	0.0	0.0	23	@BBC
23	0.7845	Thu Jun 21 12:01:06 +0000 2018	0.699	0.0	0.301	24	@BBC
24	0.0	Thu Jun 21 11:01:04 +0000 2018	1.0	0.0	0.0	25	@BBC
25	0.0	Thu Jun 21 09:55:19 +0000 2018	1.0	0.0	0.0	26	@BBC
26	0.5719	Thu Jun 21 09:13:56 +0000 2018	0.791	0.0	0.209	27	@BBC
27	-0.8979	Thu Jun 21 08:01:01 +0000 2018	0.558	0.442	0.0	28	@BBC
28	0.6114	Thu Jun 21 07:45:57 +0000 2018	0.846	0.0	0.154	29	@BBC
29	-0.5106	Thu Jun 21 07:27:03 +0000 2018	0.69	0.218	0.092	30	@BBC
30	0.6369	Thu Jun 21 07:01:04 +0000 2018	0.656	0.0	0.344	31	@BBC
31	0.5994	Wed Jun 20 20:02:08 +0000 2018	0.754	0.0	0.246	32	@BBC
32	-0.4019	Wed Jun 20 18:00:25 +0000 2018	0.748	0.252	0.0	33	@BBC
33	0.4939	Wed Jun 20 17:32:05 +0000 2018	0.593	0.136	0.271	34	@BBC
34	0.0	Wed Jun 20 16:00:26 +0000 2018	1.0	0.0	0.0	35	@BBC
35	0.3182	Wed Jun 20 14:35:32 +0000 2018	0.905	0.0	0.095	36	@BBC
36	0.0	Wed Jun 20 13:05:22 +0000 2018	1.0	0.0	0.0	37	@BBC
37	0.5562	Wed Jun 20 13:02:04 +0000 2018	0.848	0.0	0.152	38	@BBC
38	0.7579	Wed Jun 20 12:00:21 +0000 2018	0.764	0.0	0.236	39	@BBC
39	0.3626	Wed Jun 20 11:03:05 +0000 2018	0.871	0.0	0.129	40	@BBC
40	0.7207	Wed Jun 20 10:31:58 +0000 2018	0.759	0.0	0.241	41	@BBC
41	0.4767	Wed Jun 20 10:20:48 +0000 2018	0.86	0.0	0.14	42	@BBC
42	0.0	Wed Jun 20 10:03:05 +0000 2018	1.0	0.0	0.0	43	@BBC
43	0.7154	Wed Jun 20 09:47:39 +0000 2018	0.715	0.0	0.285	44	@BBC
44	0.6369	Wed Jun 20 08:00:23 +0000 2018	0.682	0.0	0.318	45	@BBC
45	0.4404	Wed Jun 20 07:25:01 +0000 2018	0.873	0.0	0.127	46	@BBC
46	0.0	Wed Jun 20 07:00:15 +0000 2018	1.0	0.0	0.0	47	@BBC
47	0.128	Tue Jun 19 19:03:08 +0000 2018	0.613	0.165	0.222	48	@BBC
48	0.7351	Tue Jun 19 18:01:10 +0000 2018	0.772	0.0	0.228	49	@BBC
49	0.0	Tue Jun 19 18:00:21 +0000 2018	1.0	0.0	0.0	50	@BBC
50	0.4215	Tue Jun 19 16:00:28 +0000 2018	0.859	0.0	0.141	51	@BBC
51	0.1511	Tue Jun 19 15:20:59 +0000 2018	0.933	0.0	0.067	52	@BBC
52	0.0	Tue Jun 19 15:02:04 +0000 2018	1.0	0.0	0.0	53	@BBC
53	-0.7579	Tue Jun 19 14:59:48 +0000 2018	0.735	0.265	0.0	54	@BBC
54	-0.5574	Tue Jun 19 13:38:02 +0000 2018	0.841	0.159	0.0	55	@BBC
55	-0.0772	Tue Jun 19 12:59:03 +0000 2018	0.766	0.124	0.11	56	@BBC
56	-0.3736	Tue Jun 19 12:02:05 +0000 2018	0.869	0.131	0.0	57	@BBC
57	0.5994	Tue Jun 19 11:00:20 +0000 2018	0.55	0.141	0.309	58	@BBC
58	-0.34	Tue Jun 19 10:26:08 +0000 2018	0.854	0.146	0.0	59	@BBC
59	0.6114	Tue Jun 19 09:55:13 +0000 2018	0.862	0.0	0.138	60	@BBC
60	0.0516	Tue Jun 19 09:53:59 +0000 2018	0.682	0.14	0.179	61	@BBC
61	0.7717	Tue Jun 19 09:47:43 +0000 2018	0.835	0.0	0.165	62	@BBC
62	0.0	Tue Jun 19 08:00:15 +0000 2018	1.0	0.0	0.0	63	@BBC
63	-0.3182	Tue Jun 19 07:27:05 +0000 2018	0.874	0.126	0.0	64	@BBC
64	-0.3716	Tue Jun 19 07:00:16 +0000 2018	0.631	0.233	0.136	65	@BBC
65	-0.5267	Mon Jun 18 20:58:38 +0000 2018	0.825	0.175	0.0	66	@BBC
66	0.7845	Mon Jun 18 20:02:04 +0000 2018	0.661	0.054	0.284	67	@BBC
67	0.5423	Mon Jun 18 18:02:04 +0000 2018	0.69	0.0	0.31	68	@BBC
68	0.0	Mon Jun 18 16:16:09 +0000 2018	1.0	0.0	0.0	69	@BBC
69	-0.2263	Mon Jun 18 16:02:03 +0000 2018	0.853	0.147	0.0	70	@BBC
70	0.6705	Mon Jun 18 15:35:49 +0000 2018	0.766	0.0	0.234	71	@BBC
71	0.5267	Mon Jun 18 15:32:42 +0000 2018	0.687	0.111	0.202	72	@BBC
72	0.7096	Mon Jun 18 15:32:33 +0000 2018	0.781	0.0	0.219	73	@BBC
73	0.5709	Mon Jun 18 15:28:37 +0000 2018	0.793	0.0	0.207	74	@BBC
74	0.7717	Mon Jun 18 14:52:52 +0000 2018	0.708	0.058	0.234	75	@BBC
75	0.0	Mon Jun 18 13:03:06 +0000 2018	1.0	0.0	0.0	76	@BBC
76	0.4939	Mon Jun 18 12:03:05 +0000 2018	0.652	0.0	0.348	77	@BBC
77	0.3595	Mon Jun 18 11:35:41 +0000 2018	0.66	0.132	0.208	78	@BBC
78	0.4019	Mon Jun 18 11:27:11 +0000 2018	0.886	0.0	0.114	79	@BBC
79	0.4939	Mon Jun 18 11:03:06 +0000 2018	0.868	0.0	0.132	80	@BBC
80	-0.4215	Mon Jun 18 10:49:28 +0000 2018	0.887	0.113	0.0	81	@BBC
81	0.0	Mon Jun 18 10:46:18 +0000 2018	1.0	0.0	0.0	82	@BBC
82	0.0	Mon Jun 18 09:47:14 +0000 2018	1.0	0.0	0.0	83	@BBC
83	0.0	Mon Jun 18 08:43:27 +0000 2018	1.0	0.0	0.0	84	@BBC
84	-0.4767	Mon Jun 18 08:01:04 +0000 2018	0.763	0.237	0.0	85	@BBC
85	0.5719	Mon Jun 18 07:26:04 +0000 2018	0.821	0.0	0.179	86	@BBC
86	0.0	Mon Jun 18 07:02:02 +0000 2018	1.0	0.0	0.0	87	@BBC
87	-0.0772	Sun Jun 17 19:03:04 +0000 2018	0.936	0.064	0.0	88	@BBC
88	0.2732	Sun Jun 17 18:04:07 +0000 2018	0.861	0.0	0.139	89	@BBC
89	-0.3802	Sun Jun 17 17:15:57 +0000 2018	0.923	0.077	0.0	90	@BBC
90	0.4019	Sun Jun 17 17:02:05 +0000 2018	0.876	0.0	0.124	91	@BBC
91	-0.6369	Sun Jun 17 16:03:05 +0000 2018	0.794	0.206	0.0	92	@BBC
92	0.5994	Sun Jun 17 15:04:05 +0000 2018	0.822	0.0	0.178	93	@BBC
93	0.3612	Sun Jun 17 14:05:04 +0000 2018	0.629	0.138	0.233	94	@BBC
94	0.7845	Sun Jun 17 13:02:10 +0000 2018	0.566	0.0	0.434	95	@BBC
95	0.1999	Sun Jun 17 12:04:03 +0000 2018	0.666	0.141	0.193	96	@BBC
96	0.0	Sun Jun 17 11:19:22 +0000 2018	1.0	0.0	0.0	97	@BBC
97	0.4215	Sun Jun 17 11:03:02 +0000 2018	0.833	0.0	0.167	98	@BBC
98	0.4939	Sun Jun 17 10:02:04 +0000 2018	0.775	0.0	0.225	99	@BBC
99	0.0	Sun Jun 17 09:04:06 +0000 2018	1.0	0.0	0.0	100	@BBC
