	Compound	Date	Negative	Neutral	Positive	Tweets Ago	Source
0	0.0	Sat Jun 23 01:19:50 +0000 2018	1.0	0.0	0.0	1	@cbs
1	-0.0516	Sat Jun 23 00:59:49 +0000 2018	0.75	0.129	0.121	6	@cbs
2	0.0	Sat Jun 23 00:39:46 +0000 2018	1.0	0.0	0.0	11	@cbs
3	-0.1027	Sat Jun 23 00:19:37 +0000 2018	0.928	0.072	0.0	16	@cbs
4	-0.2023	Sat Jun 23 00:00:01 +0000 2018	0.921	0.079	0.0	21	@cbs
5	0.0	Fri Jun 22 23:29:47 +0000 2018	1.0	0.0	0.0	26	@cbs
6	-0.7003	Fri Jun 22 23:23:58 +0000 2018	0.691	0.309	0.0	31	@cbs
7	0.5574	Fri Jun 22 22:46:52 +0000 2018	0.833	0.0	0.167	36	@cbs
8	0.0	Fri Jun 22 22:39:03 +0000 2018	1.0	0.0	0.0	41	@cbs
9	0.0	Fri Jun 22 22:30:01 +0000 2018	1.0	0.0	0.0	46	@cbs
10	-0.4215	Fri Jun 22 22:15:04 +0000 2018	0.872	0.128	0.0	51	@cbs
11	-0.1531	Fri Jun 22 22:14:22 +0000 2018	0.792	0.119	0.089	56	@cbs
12	-0.2023	Fri Jun 22 22:00:02 +0000 2018	0.909	0.091	0.0	61	@cbs
13	0.0	Fri Jun 22 21:44:46 +0000 2018	1.0	0.0	0.0	66	@cbs
14	-0.2023	Fri Jun 22 21:29:51 +0000 2018	0.904	0.096	0.0	71	@cbs
15	0.0	Fri Jun 22 21:14:49 +0000 2018	1.0	0.0	0.0	76	@cbs
16	-0.4767	Fri Jun 22 20:59:57 +0000 2018	0.829	0.171	0.0	81	@cbs
17	0.3182	Fri Jun 22 20:45:01 +0000 2018	0.892	0.0	0.108	86	@cbs
18	-0.7964	Fri Jun 22 20:29:30 +0000 2018	0.664	0.336	0.0	91	@cbs
19	-0.4019	Fri Jun 22 20:15:01 +0000 2018	0.876	0.124	0.0	96	@cbs
20	-0.9118	Fri Jun 22 19:48:09 +0000 2018	0.564	0.436	0.0	101	@cbs
21	0.0	Fri Jun 22 19:30:00 +0000 2018	1.0	0.0	0.0	106	@cbs
