	Compound	Date	Negative	Neutral	Positive	Tweets Ago	Source
0	0.0	Sat Jun 23 01:15:09 +0000 2018	1.0	0.0	0.0	1	@CNN
1	0.5859	Sat Jun 23 01:00:44 +0000 2018	0.806	0.0	0.194	2	@CNN
2	-0.4939	Sat Jun 23 00:54:58 +0000 2018	0.873	0.127	0.0	3	@CNN
3	-0.4404	Sat Jun 23 00:53:04 +0000 2018	0.711	0.184	0.105	4	@CNN
4	0.0	Sat Jun 23 00:45:10 +0000 2018	1.0	0.0	0.0	5	@CNN
5	0.296	Sat Jun 23 00:41:28 +0000 2018	0.901	0.0	0.099	6	@CNN
6	0.0	Sat Jun 23 00:40:48 +0000 2018	1.0	0.0	0.0	7	@CNN
7	-0.8689	Sat Jun 23 00:37:04 +0000 2018	0.612	0.388	0.0	8	@CNN
8	-0.2732	Sat Jun 23 00:30:06 +0000 2018	0.9	0.1	0.0	9	@CNN
9	-0.2732	Sat Jun 23 00:22:02 +0000 2018	0.717	0.165	0.118	10	@CNN
10	0.4404	Sat Jun 23 00:15:06 +0000 2018	0.838	0.0	0.162	11	@CNN
11	0.0	Sat Jun 23 00:10:09 +0000 2018	1.0	0.0	0.0	12	@CNN
12	0.0	Sat Jun 23 00:00:32 +0000 2018	1.0	0.0	0.0	13	@CNN
13	0.2023	Fri Jun 22 23:50:01 +0000 2018	0.921	0.0	0.079	14	@CNN
14	-0.2732	Fri Jun 22 23:40:08 +0000 2018	0.896	0.104	0.0	15	@CNN
15	0.0	Fri Jun 22 23:29:05 +0000 2018	1.0	0.0	0.0	16	@CNN
16	-0.0572	Fri Jun 22 23:15:07 +0000 2018	0.936	0.064	0.0	17	@CNN
17	0.0	Fri Jun 22 23:00:04 +0000 2018	1.0	0.0	0.0	18	@CNN
18	-0.3182	Fri Jun 22 22:45:07 +0000 2018	0.685	0.187	0.128	19	@CNN
19	0.7243	Fri Jun 22 22:30:07 +0000 2018	0.607	0.094	0.299	20	@CNN
20	0.0	Fri Jun 22 22:16:06 +0000 2018	1.0	0.0	0.0	21	@CNN
21	-0.4767	Fri Jun 22 22:00:21 +0000 2018	0.819	0.181	0.0	22	@CNN
22	0.0	Fri Jun 22 21:38:04 +0000 2018	1.0	0.0	0.0	23	@CNN
23	0.128	Fri Jun 22 21:31:17 +0000 2018	0.786	0.096	0.118	24	@CNN
24	0.0	Fri Jun 22 21:15:07 +0000 2018	1.0	0.0	0.0	25	@CNN
25	0.0772	Fri Jun 22 21:00:13 +0000 2018	0.933	0.0	0.067	26	@CNN
26	-0.5859	Fri Jun 22 20:45:04 +0000 2018	0.684	0.239	0.077	27	@CNN
27	-0.6597	Fri Jun 22 20:33:04 +0000 2018	0.812	0.188	0.0	28	@CNN
28	0.0	Fri Jun 22 20:23:00 +0000 2018	1.0	0.0	0.0	29	@CNN
29	0.0	Fri Jun 22 20:10:07 +0000 2018	1.0	0.0	0.0	30	@CNN
30	-0.4939	Fri Jun 22 20:00:12 +0000 2018	0.68	0.224	0.096	31	@CNN
31	0.0	Fri Jun 22 19:59:51 +0000 2018	1.0	0.0	0.0	32	@CNN
32	-0.6908	Fri Jun 22 19:51:04 +0000 2018	0.769	0.231	0.0	33	@CNN
33	0.3182	Fri Jun 22 19:40:09 +0000 2018	0.881	0.0	0.119	34	@CNN
34	0.4588	Fri Jun 22 19:30:12 +0000 2018	0.766	0.072	0.162	35	@CNN
35	-0.6249	Fri Jun 22 19:21:06 +0000 2018	0.814	0.186	0.0	36	@CNN
36	0.0	Fri Jun 22 19:11:07 +0000 2018	1.0	0.0	0.0	37	@CNN
37	-0.1531	Fri Jun 22 19:01:08 +0000 2018	0.625	0.201	0.174	38	@CNN
38	0.0	Fri Jun 22 18:52:08 +0000 2018	1.0	0.0	0.0	39	@CNN
39	-0.128	Fri Jun 22 18:41:10 +0000 2018	0.897	0.103	0.0	40	@CNN
40	-0.5719	Fri Jun 22 18:21:05 +0000 2018	0.773	0.227	0.0	41	@CNN
41	-0.5106	Fri Jun 22 18:04:22 +0000 2018	0.852	0.148	0.0	42	@CNN
42	0.5859	Fri Jun 22 17:53:17 +0000 2018	0.806	0.0	0.194	43	@CNN
43	0.0	Fri Jun 22 17:43:05 +0000 2018	1.0	0.0	0.0	44	@CNN
44	0.4019	Fri Jun 22 17:33:55 +0000 2018	0.816	0.0	0.184	45	@CNN
45	0.128	Fri Jun 22 17:20:00 +0000 2018	0.786	0.096	0.118	46	@CNN
46	0.0	Fri Jun 22 17:10:00 +0000 2018	1.0	0.0	0.0	47	@CNN
47	0.0	Fri Jun 22 17:02:20 +0000 2018	1.0	0.0	0.0	48	@CNN
