	Compound	Date	Negative	Neutral	Positive	Tweets Ago	Source
0	-0.4404	Sat Jun 23 01:17:01 +0000 2018	0.861	0.139	0.0	1	@nytimes
1	0.0	Sat Jun 23 01:02:06 +0000 2018	1.0	0.0	0.0	6	@nytimes
2	0.0	Sat Jun 23 00:47:04 +0000 2018	1.0	0.0	0.0	11	@nytimes
3	0.4939	Sat Jun 23 00:32:08 +0000 2018	0.656	0.107	0.238	16	@nytimes
4	0.0	Sat Jun 23 00:17:05 +0000 2018	1.0	0.0	0.0	21	@nytimes
5	0.5106	Sat Jun 23 00:02:05 +0000 2018	0.837	0.0	0.163	26	@nytimes
6	-0.6486	Fri Jun 22 23:47:03 +0000 2018	0.815	0.185	0.0	31	@nytimes
7	-0.34	Fri Jun 22 23:32:05 +0000 2018	0.766	0.142	0.091	36	@nytimes
8	0.5859	Fri Jun 22 23:17:02 +0000 2018	0.806	0.0	0.194	41	@nytimes
9	-0.5095	Fri Jun 22 23:02:04 +0000 2018	0.845	0.155	0.0	46	@nytimes
10	0.0	Fri Jun 22 22:47:02 +0000 2018	1.0	0.0	0.0	51	@nytimes
11	0.0	Fri Jun 22 22:30:06 +0000 2018	1.0	0.0	0.0	56	@nytimes
12	0.6369	Fri Jun 22 22:17:02 +0000 2018	0.724	0.0	0.276	61	@nytimes
13	-0.5574	Fri Jun 22 22:03:49 +0000 2018	0.677	0.229	0.094	66	@nytimes
14	0.0	Fri Jun 22 21:47:06 +0000 2018	1.0	0.0	0.0	71	@nytimes
15	0.5574	Fri Jun 22 21:32:02 +0000 2018	0.753	0.0	0.247	76	@nytimes
16	0.0	Fri Jun 22 21:21:05 +0000 2018	1.0	0.0	0.0	81	@nytimes
17	0.0772	Fri Jun 22 21:10:06 +0000 2018	0.885	0.0	0.115	86	@nytimes
18	0.0	Fri Jun 22 21:00:12 +0000 2018	1.0	0.0	0.0	91	@nytimes
19	0.296	Fri Jun 22 20:45:03 +0000 2018	0.879	0.0	0.121	96	@nytimes
20	0.0	Fri Jun 22 20:30:06 +0000 2018	1.0	0.0	0.0	101	@nytimes
21	0.8176	Fri Jun 22 20:15:46 +0000 2018	0.622	0.0	0.378	106	@nytimes
22	0.25	Fri Jun 22 20:00:06 +0000 2018	0.917	0.0	0.083	111	@nytimes
23	0.0	Fri Jun 22 19:50:04 +0000 2018	1.0	0.0	0.0	116	@nytimes
24	0.6249	Fri Jun 22 19:40:09 +0000 2018	0.745	0.0	0.255	121	@nytimes
25	-0.7384	Fri Jun 22 19:26:55 +0000 2018	0.666	0.27	0.065	126	@nytimes
26	0.0	Fri Jun 22 19:15:10 +0000 2018	1.0	0.0	0.0	131	@nytimes
27	0.3818	Fri Jun 22 19:06:51 +0000 2018	0.809	0.0	0.191	136	@nytimes
