igarape-miri,br,-2,-49
parintins,br,-3,-56
mvuma,zw,-19,31
guiratinga,br,-17,-54
concepcion,py,-24,-58
caucaia,br,-3,-38
sao sebastiao do paraiso,br,-21,-47
neuquen,ar,-41,-69
halalo,wf,-17,-180
warmbad,na,-29,19
uvira,cd,-4,28
taree,au,-32,152
san antonio,cl,-34,-73
urubicha,bo,-15,-63
mmabatho,za,-26,25
sicuani,pe,-14,-71
maraa,br,-2,-65
kongolo,cd,-5,27
bangkalan,id,-6,113
pocinhos,br,-7,-36
montanha,br,-18,-40
paso de carrasco,uy,-36,-56
vila,vu,-19,168
serra,br,-20,-40
kaoma,zm,-16,25
soure,br,-1,-49
tolaga bay,nz,-39,179
ngerengere,tz,-7,38
karangampel,id,-6,109
sao jose de ribamar,br,-2,-44
cradock,za,-32,26
innisfail,au,-18,146
mwinilunga,zm,-12,23
serowe,bw,-22,27
mumbwa,zm,-15,27
mapiri,bo,-15,-68
liwale,tz,-10,37
nkayi,cg,-4,13
wanaka,nz,-45,169
boquira,br,-13,-43
mount hagen,pg,-6,144
almeirim,br,-1,-53
piopio,nz,-39,175
pontes e lacerda,br,-15,-60
beroroha,mg,-22,45
vinhedo,br,-23,-47
porgera,pg,-5,143
malangali,tz,-8,35
francistown,bw,-21,28
ariquemes,br,-10,-64
kathu,za,-28,23
grand gaube,mu,-19,59
camapua,br,-19,-54
karasburg,na,-28,18
kokopo,pg,-6,152
georgetown,sh,-24,-22
alofi,nu,-31,-168
jaguarari,br,-10,-40
warragul,au,-38,146
atherton,au,-19,143
santo antonio do amparo,br,-21,-45
glencoe,za,-28,30
pimentel,pe,-13,-90
feijo,br,-8,-70
mozarlandia,br,-15,-51
geraldton,au,-35,85
nhulunbuy,au,-13,137
manacapuru,br,-3,-61
plettenberg bay,za,-50,24
mahina,pf,-16,-149
madimba,tz,-11,41
pitimbu,br,-8,-31
bouloupari,nc,-22,166
niteroi,br,-23,-43
wonthaggi,au,-39,146
itapirapua,br,-16,-51
ambalavao,mg,-22,47
