	city	Temperature (F)	Latitude	Longitude	Country	Humidity	Cloudiness	Wind_Speed	Max_Temp
0	Liwale	68.9	-9.8	37.92	TZ	73	0	4.61	68.9
1	Warkworth	50.0	-36.4	174.66	NZ	93	0	3.36	50.0
2	Ngerengere	74.75	-6.76	38.13	TZ	84	68	3.6	74.75
3	Kadungora	65.3	-7.09	107.89	ID	98	80	1.25	65.3
4	Conchas	60.62	-23.02	-48.01	BR	60	8	5.39	60.62
5	Capitan Bado	72.77	-23.27	-55.53	PY	63	68	4.94	72.77
6	Jardim	80.87	-21.48	-56.15	BR	48	88	11.21	80.87
7	Breyten	47.93	-26.3	29.99	ZA	97	36	11.77	47.93
8	Tupancireta	62.6	-29.08	-53.84	BR	98	92	1.25	62.6
9	Solwezi	52.88	-12.18	26.4	ZM	80	0	3.94	52.88
10	Tome	66.92	38.69	141.2	JP	60	75	9.17	68.0
11	Manaus	80.6	-3.13	-59.98	BR	83	20	2.24	80.6
12	Biloela	54.5	-24.4	150.51	AU	57	0	11.99	54.5
13	Laela	49.73	-8.57	32.05	TZ	73	0	4.05	49.73
14	Ushuaia	42.8	-54.81	-68.31	AR	70	20	32.21	42.8
15	La Plata	51.8	-34.92	-57.95	AR	93	90	9.17	51.8
16	Santo Augusto	69.89	-27.85	-53.78	BR	71	92	5.17	69.89
17	Namatanai	81.23	-3.66	152.44	PG	100	64	4.94	81.23
18	Wanganui	50.63	-39.93	175.05	NZ	100	0	6.06	50.63
19	Chingola	52.34	-12.55	27.86	ZM	82	0	3.04	52.34
20	Kokoda	65.57	-8.88	147.74	PG	95	80	2.04	65.57
21	Deneysville	49.73	-26.89	28.1	ZA	100	68	10.2	49.73
22	Kaitangata	40.91	-46.28	169.85	NZ	75	0	4.38	40.91
23	Kruisfontein	60.98	-34.0	24.73	ZA	72	0	14.0	60.98
24	Porciuncula	55.22	-20.96	-42.04	BR	88	8	2.26	55.22
25	Lae	68.63	-6.72	146.98	PG	100	92	2.15	68.63
26	Magomeni	74.57	-6.8	39.25	TZ	94	75	5.82	75.2
27	Ruteng	73.22	-8.61	120.46	ID	91	12	3.83	73.22
28	Bela Vista de Goias	69.8	-16.97	-48.95	BR	68	0	2.24	69.8
29	Curaca	78.17	-8.99	-39.91	BR	61	88	14.45	78.17
30	Naberera	62.24	-4.2	36.93	TZ	97	68	3.94	62.24
31	Sorong	76.73	-0.86	131.25	ID	100	92	1.48	76.73
32	Uyuni	32.63	-20.46	-66.82	BO	25	0	7.96	32.63
33	La Peca	70.7	-5.61	-78.44	PE	78	0	2.26	70.7
34	Torata	31.28	-17.08	-70.84	PE	40	0	1.92	31.28
35	Benalla	39.2	-36.55	145.99	AU	86	0	1.12	39.2
36	Grootfontein	50.72	-19.56	18.1	NA	63	0	6.51	50.72
37	Villa Carlos Paz	44.6	-31.42	-64.5	AR	87	90	11.41	44.6
38	Rosario	52.16	-34.31	-57.35	UY	95	92	14.56	52.16
39	Quatre Cocos	71.6	-20.21	57.76	MU	68	40	4.7	71.6
40	Caceres	70.52	5.53	-74.53	CO	91	24	0.36	70.52
41	Gamba	30.29	28.28	88.52	CN	92	76	2.71	30.29
42	Te Anau	39.65	-45.41	167.72	NZ	92	0	2.93	39.65
43	Ambilobe	65.57	-13.19	49.05	MG	84	12	4.61	65.57
44	Gizo	71.6	31.8	34.94	IL	78	40	3.36	71.6
45	Karibib	46.58	-21.94	15.86	NA	80	0	2.37	46.58
46	Ambulu	73.67	-8.35	113.61	ID	100	24	4.16	73.67
47	Lazaro Cardenas	102.2	28.39	-105.62	MX	9	20	6.93	102.2
48	Inongo	73.58	-1.93	18.29	CD	96	8	2.04	73.58
49	Formosa	64.4	-26.19	-58.17	AR	100	90	11.41	64.4
50	Moindou	77.0	-21.69	165.68	NC	53	40	2.24	77.0
51	Sao Joao do Paraiso	67.1	-15.31	-42.01	BR	71	8	7.74	67.1
52	Namwala	51.17	-15.75	26.45	ZM	85	0	2.93	51.17
53	Abancay	36.5	-13.64	-72.88	PE	43	0	1.59	36.5
54	Nyamuswa	61.43	-1.9	34.02	TZ	100	36	2.37	61.43
55	Aguas Formosas	63.5	-17.08	-40.94	BR	93	12	4.83	63.5
56	Iquitos	80.6	-3.75	-73.25	PE	83	40	2.24	80.6
57	Namanyere	50.45	-7.51	31.05	TZ	79	0	2.37	50.45
58	Madimba	78.8	4.42	9.93	CM	94	75	2.24	78.8
59	Rurrenabaque	79.77	-14.44	-67.53	BO	94	40	1.25	80.6
60	Horqueta	68.18	-23.34	-57.05	PY	100	92	4.38	68.18
61	Teno	41.0	-34.87	-71.16	CL	80	90	2.24	41.0
62	Sao Geraldo do Araguaia	76.82	-6.4	-48.55	BR	68	8	3.27	76.82
63	Matara	37.67	-13.74	-72.9	PE	46	0	1.92	37.67
64	Areia Branca	80.6	-10.76	-37.31	BR	69	40	12.75	80.6
65	Palmeirais	76.46	-5.97	-43.06	BR	75	44	2.71	76.46
66	Katobu	80.42	-4.94	122.53	ID	98	68	4.16	80.42
67	Perth	51.8	56.4	-3.43	GB	100	20	3.36	51.8
68	Biak	75.11	-0.91	122.88	ID	100	88	4.94	75.11
69	Ngorongoro	50.45	-3.24	35.49	TZ	92	12	2.37	50.45
70	Llaillay	50.0	-32.84	-70.95	CL	66	0	0.92	50.0
71	Baiao	79.88	-2.79	-49.67	BR	64	32	4.16	79.88
72	Rio Cuarto	42.62	-33.13	-64.35	AR	97	92	11.77	42.62
73	Sombrio	64.76	-29.11	-49.63	BR	96	8	5.61	64.76
74	Hennenman	46.31	-27.97	27.03	ZA	100	76	9.08	46.31
75	Arraial do Cabo	71.33	-22.97	-42.02	BR	96	0	16.91	71.33
76	Natalio	66.02	-26.76	-55.14	PY	100	100	2.15	66.02
77	Florida	80.6	21.53	-78.23	CU	74	75	13.87	80.6
78	Chama	63.86	-11.22	33.16	ZM	57	0	9.53	63.86
79	Aracaju	80.6	-10.92	-37.08	BR	69	40	12.75	80.6
80	Port Macquarie	53.6	-31.43	152.91	AU	81	75	14.99	53.6
81	Ilo	57.38	-17.65	-71.34	PE	100	80	2.93	57.38
82	Barra do Bugres	72.77	-15.07	-57.19	BR	86	20	4.5	72.77
83	Dunda	52.07	30.62	78.32	IN	76	24	1.59	52.07
84	Coracora	30.56	-15.02	-73.78	PE	42	0	2.93	30.56
85	Porto de Moz	79.7	-1.75	-52.24	BR	84	36	3.71	79.7
86	Deniliquin	46.58	-35.53	144.96	AU	79	0	5.73	46.58
87	Sao Marcos	58.64	-28.97	-51.07	BR	84	32	5.28	58.64
88	Cangucu	62.15	-31.39	-52.68	BR	99	92	7.96	62.15
89	Teresina	82.4	-5.09	-42.81	BR	65	0	7.18	82.4
90	Kerikeri	60.08	-35.23	173.95	NZ	73	64	13.89	60.08
91	Santa Lucia	68.0	39.93	9.66	IT	88	0	6.93	68.0
92	Sao Francisco	68.9	-25.65	-53.85	BR	94	90	5.82	69.8
93	Bondowoso	73.13	-7.91	113.82	ID	84	0	4.38	73.13
94	San Pedro de Ycuamandiyu	67.73	-24.09	-57.08	PY	100	92	5.95	67.73
95	Caconda	51.98	-13.73	15.06	AO	72	0	2.15	51.98
96	Guanhaes	53.78	-18.77	-42.93	BR	86	68	2.26	53.78
97	Tsabong	37.58	-26.02	22.4	BW	69	0	2.93	37.58
98	Djambala	69.71	-2.55	14.76	CG	93	0	2.82	69.71
99	Laguna	102.2	27.52	-110.01	MX	7	20	13.87	102.2
100	Laje	67.73	-13.18	-39.42	BR	98	92	5.95	67.73
101	Gambiran	69.17	-7.93	111.77	ID	95	20	3.15	69.17
102	Canavieiras	76.46	-15.68	-38.95	BR	77	92	6.17	76.46
103	Kindu	73.85	-2.95	25.92	CD	81	8	2.93	73.85
104	Chiredzi	58.55	-21.05	31.67	ZW	81	0	2.71	58.55
105	Bambanglipuro	67.82	-7.95	110.28	ID	94	0	2.37	67.82
106	Monteagudo	64.4	-19.8	-63.96	BO	93	90	5.82	64.4
107	Voh	73.4	-20.95	164.69	NC	100	0	5.95	73.4
108	Masvingo	50.63	-20.08	30.83	ZW	79	0	2.82	50.63
109	Sesheke	54.95	-17.47	24.29	NA	67	0	2.59	54.95
110	Lithgow	55.4	-33.48	150.16	AU	58	75	13.87	55.4
111	Zarate	64.4	-13.68	-76.08	PE	88	20	10.29	64.4
112	Ayaviri	27.68	-14.88	-70.59	PE	35	0	1.36	27.68
113	Alenquer	78.8	-1.95	-54.74	BR	88	0	3.36	78.8
114	Ambunti	75.38	-4.22	142.82	PG	100	92	2.71	75.38
115	Morondava	65.39	-20.3	44.28	MG	100	0	1.59	65.39
116	Mahenge	66.38	-8.68	36.72	TZ	87	24	1.81	66.38
117	Ladario	49.1	40.7	-7.74	PT	98	68	2.59	49.1
118	Westport	58.01	53.8	-9.52	IE	91	12	3.15	58.01
119	Whyalla	41.0	-33.04	137.58	AU	93	76	3.36	41.0
120	Cairns	75.2	-16.92	145.77	AU	53	20	14.99	75.2
121	Axim	80.6	4.87	-2.24	GH	100	12	7.74	80.6
